date,company,offer,channel,segment,price,base_price,discount_rate,marketing_spend,competitor_price_index,holiday_flag,units_sold,unit_cost,fixed_cost,is_synthetic
2025-01-06,雜草町,手捏陶體驗,online,新客,923.93,1080.0,0.145,9581.57,0.893,0,34,411.52,27000.0,True
2025-01-13,雜草町,羊毛氈課程,store,新客,1319.93,1320.0,0.0,13112.3,1.003,0,29,498.26,33000.0,True
2025-01-20,雜草町,金工入門,event,新客,1212.51,1560.0,0.223,15378.57,1.042,0,46,612.24,39000.0,True
2025-01-27,雜草町,老宅夜間工藝,member,新客,1800.0,1800.0,0.0,28911.18,0.939,0,50,703.99,45000.0,True
2025-02-03,雜草町,手捏陶體驗,online,熟客,1075.38,1080.0,0.004,8859.55,0.916,1,34,423.88,27000.0,True
2025-02-10,雜草町,羊毛氈課程,store,熟客,1050.61,1320.0,0.204,14235.52,0.876,1,50,496.09,33000.0,True
2025-02-17,雜草町,金工入門,event,熟客,1427.25,1560.0,0.085,21425.72,0.915,1,48,610.1,39000.0,True
2025-02-24,雜草町,老宅夜間工藝,member,熟客,1523.91,1800.0,0.153,23454.9,1.084,1,58,680.53,45000.0,True
2025-03-03,雜草町,手捏陶體驗,online,親子,971.36,1080.0,0.101,10007.96,0.886,0,36,415.19,27000.0,True
2025-03-10,雜草町,羊毛氈課程,store,親子,1199.75,1320.0,0.091,12459.64,0.923,0,42,487.11,33000.0,True
2025-03-17,雜草町,金工入門,event,親子,1402.17,1560.0,0.101,19425.09,0.952,0,48,607.29,39000.0,True
2025-03-24,雜草町,老宅夜間工藝,member,親子,1717.34,1800.0,0.046,25662.47,0.928,0,41,703.16,45000.0,True
2025-03-31,雜草町,手捏陶體驗,online,年輕族群,1016.31,1080.0,0.059,6267.93,1.036,0,37,418.62,27000.0,True
2025-04-07,雜草町,羊毛氈課程,store,年輕族群,1050.66,1320.0,0.204,15973.95,0.856,0,54,488.3,33000.0,True
2025-04-14,雜草町,金工入門,event,年輕族群,1306.16,1560.0,0.163,16821.74,0.842,0,47,574.98,39000.0,True
2025-04-21,雜草町,老宅夜間工藝,member,年輕族群,1732.92,1800.0,0.037,23827.99,0.75,0,40,641.07,45000.0,True
2025-04-28,雜草町,手捏陶體驗,online,新客,940.04,1080.0,0.13,10915.38,1.124,0,39,400.31,27000.0,True
2025-05-05,雜草町,羊毛氈課程,store,新客,1196.16,1320.0,0.094,13946.95,0.755,0,45,491.99,33000.0,True
2025-05-12,雜草町,金工入門,event,新客,1270.34,1560.0,0.186,13906.05,0.965,0,49,568.19,39000.0,True
2025-05-19,雜草町,老宅夜間工藝,member,新客,1615.44,1800.0,0.103,22410.41,0.827,0,52,691.26,45000.0,True
2025-05-26,雜草町,手捏陶體驗,online,熟客,1069.86,1080.0,0.009,10866.38,0.893,0,37,395.29,27000.0,True
